lag,autocorrelation
512,0.04554234248909713
513,0.04496140127035143
514,0.04403137190915636
515,0.04276813837947476
516,0.041184652994021416
517,0.03928844604307361
518,0.037115907977178605
519,0.03471891130992786
520,0.03215733624030562
521,0.029504262139684715
522,0.026843200961944896
523,0.024247046063881138
524,0.021785270720319688
525,0.0195286746813985
526,0.01754314400106211
527,0.015882249215880235
528,0.01459280958974106
529,0.013719348905748035
530,0.01328886062705934
531,0.013314151390693689
532,0.01381146727536042
533,0.014775720588596537
534,0.016185340233261743
535,0.018007984857174177
536,0.020191452404265686
537,0.022661356784328356
538,0.025331481062581512
539,0.02810134608646531
540,0.030873897704174962
541,0.03354250385392543
542,0.036004262260742194
543,0.03818666805135068
544,0.0400447926235215
545,0.041543364570709236
546,0.042654484680440925
547,0.04336852158259577
548,0.043702130184306937
549,0.043667761974080996
550,0.04329990065560261
551,0.04263634765741665
552,0.04175025344702559
553,0.04071082737465615
554,0.03961504110596819
555,0.038554341780417285
556,0.03763564063350849
557,0.03693252284624949
558,0.036517515505580564
559,0.03641936147150781
560,0.03665818451992236
561,0.03722647295919119
562,0.03811441333432472
563,0.03929263143138588
564,0.0407059205556236
565,0.04227824018524337
566,0.043945661090357385
567,0.045598765132770565
568,0.047154152339557776
569,0.048498614754307126
570,0.04953979441725464
571,0.05018415155665541
572,0.05035711220107246
573,0.05000367645816828
574,0.04909796347445191
575,0.04762434224747038
576,0.04560384594511606
577,0.04307990830130231
578,0.040108778360527154
579,0.03675252150231254
580,0.03311208796911745
581,0.02928464375966426
582,0.02537484883415229
583,0.021497202393239472
584,0.017757413675590965
585,0.014264016797034953
586,0.011126496530451484
587,0.00842932589753361
588,0.00624406604438679
589,0.0046216850723255695
590,0.0035838546640515343
591,0.0031324869718623717
592,0.003268701898063797
593,0.003954285268309467
594,0.005152860289770365
595,0.006827384881404195
596,0.008921017192613935
597,0.011372639239208622
598,0.014124333638168946
599,0.017114040966191443
600,0.020259437687164372
601,0.023498162729820367
602,0.026748656828288798
603,0.029938531433959293
604,0.03300738809315849
605,0.03591207224952076
606,0.03861686861361633
607,0.04109603249722704
608,0.043336253365897894
609,0.0453285109744449
610,0.04707910979927647
611,0.04857701867276613
612,0.0498202518879773
613,0.050806093743838404
614,0.051545625375081665
615,0.052019301337944225
616,0.052245368391524424
617,0.05222840996618072
618,0.05199877360764844
619,0.051575789897091766
620,0.05099362509938843
621,0.05027738526433722
622,0.04944665788079663
623,0.04850074889924636
624,0.04745217969415939
625,0.0462912489345267
626,0.0450130081831273
627,0.04360522097329351
628,0.04208899097430476
629,0.04048064389086069
630,0.03880995473414152
631,0.037093140631672204
632,0.03536982391646583
633,0.03364944010637333
634,0.03195521769770211
635,0.030280667618548127
636,0.028627938666898865
637,0.02697191341275128
638,0.02531379147692725
639,0.02364598560327296
640,0.02198501520222422
641,0.020335112288848937
642,0.01872495029630343
643,0.01716799809339756
644,0.015690113713109532
645,0.01430535742756133
646,0.013036503838683853
647,0.01189338238509754
648,0.010901301386986667
649,0.010081272638076465
650,0.009460424487283658
651,0.009080686968191611
652,0.008987564959221308
653,0.009229571622718334
654,0.009855733869468655
655,0.01089587788181398
656,0.012374390088695064
657,0.0142973778145665
658,0.016652644161882207
659,0.019411999425890534
660,0.02252834755660683
661,0.02594582338415898
662,0.029594017690448945
663,0.03339556065259387
664,0.03728181271312946
665,0.041186643791343666
666,0.04503963291100316
667,0.048749821196603045
668,0.052227561458331476
669,0.055395866813724
670,0.058157936728717885
671,0.06043663363633825
672,0.06217248368435215
673,0.06331524079693264
674,0.06382876817635043
675,0.06372131447516668
676,0.0630237346909139
677,0.06177723096968102
678,0.06003334659924187
679,0.05785153112896607
680,0.05529941067302141
681,0.05243083316469395
682,0.04930930746154809
683,0.046008642830140535
684,0.0426112323145691
685,0.03919039091289621
686,0.03582684913090482
687,0.03259115269855354
688,0.02955759339884523
689,0.02677482379211538
690,0.02429059550539924
691,0.02212280790960303
692,0.020279310860451885
693,0.01874768109419748
694,0.017527216332869376
695,0.016599079414691853
696,0.01594761984744369
697,0.015549765427490826
698,0.015402880957586929
699,0.015465961051219095
700,0.01572900210896363
701,0.01616087382072799
702,0.0167598066804763
703,0.017499003703930243
704,0.01836947856449376
705,0.01935605940109148
706,0.020463724583746103
707,0.021683313635915864
708,0.023016802596879223
709,0.02446555989963748
710,0.02603100130208709
711,0.027697887982071148
712,0.029466825518210962
713,0.031337158805928945
714,0.03328690547884083
715,0.03529115975701091
716,0.0373357377796664
717,0.03938798576311138
718,0.04142920458060703
719,0.043428055905838175
720,0.04535700322605751
721,0.04717953015137604
722,0.04887034065922095
723,0.050394222411031
724,0.05171933140083621
725,0.05280712564899327
726,0.05363352162073482
727,0.05417325342198678
728,0.054411328678815846
729,0.0543261219110443
730,0.05391913367002679
731,0.05319570722411614
732,0.05215032213598038
733,0.050786043792862175
734,0.04909439191638101
735,0.047087615296183695
736,0.04478266872814135
737,0.042211469289033805
738,0.039414176505353345
739,0.036441203741720385
740,0.03335120202282237
741,0.030198337914418973
742,0.02704304669487847
743,0.02394142482755964
744,0.020945726576835355
745,0.018095905141672648
746,0.015436147770919869
747,0.013001048637547193
748,0.010842099666031033
749,0.00901784522896044
750,0.007590126505933125
751,0.0066037509517741675
752,0.006118779887644215
753,0.006175319709680385
754,0.006802581292802996
755,0.007996649972564683
756,0.009740613516169377
757,0.011985116433998704
758,0.014679688740256653
759,0.017752659404525632
760,0.021131217193317797
761,0.024746174710107288
762,0.02852293875155405
763,0.032382413584600575
764,0.03624079210173068
765,0.039992378360277865
766,0.043541952789555076
767,0.046771539102924795
768,0.049591377937093534
769,0.05188692230980787
770,0.053586475685823975
771,0.05461767870716908
772,0.05495178125319354
773,0.05457344386907115
774,0.05350765766731444
775,0.05178642850258601
776,0.04946065175012373
777,0.04659238980314679
